State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9901,WRITE-IN,,,WI,0,5,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #199),0199,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #199),0199,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #199),0199,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #199),0199,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9001,Liz Niemioja,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9002,Darcie Pierson,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9003,Jake Klingner,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9004,Sherry Warrick,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9901,WRITE-IN,,,WI,0,4,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #199),0199,9001,Shana Dukes,,,NP,0,4,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #199),0199,9002,Aaron Brooksby,,,NP,0,4,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #199),0199,9003,Matt Schaefer,,,NP,0,4,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #199),0199,9901,WRITE-IN,,,WI,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #200),0200,9001,YES,,,NP,1,6,435,49.94,871
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #200),0200,9002,NO,,,NP,1,6,436,50.06,871
